Sample,Concentration,Data,Raw_Data,Cells
UNC5C2,50uM,662.25,1674,2053.377383
UNC5C2,50uM,1864.25,2876,5190.144745
UNC5C2,50uM,1099.25,2111,3233.278578
UNC5C2,10uM,2972.25,3984,7882.805105
UNC5C2,10uM,1832.25,2844,5110.254063
UNC5C2,10uM,2751.25,3763,7355.58384
UNC5C2,10uM,2888.25,3900,7682.910871
UNC5C2,10uM,2032.25,3044,5607.291678
UNC5C2,10uM,2092.25,3104,5755.389091
UNC5C2,10uM,2273.25,3285,6199.53026
UNC5C2,5uM,2452.25,3464,6635.154611
UNC5C2,5uM,1896.25,2908,5269.892852
UNC5C2,5uM,1505.25,2517,4284.995055
UNC5C2,5uM,3578.25,4590,9308.521671
UNC5C2,5uM,2527.25,3539,6816.682894
UNC5C2,5uM,2434.25,3446,6591.502448
UNC5C2,5uM,3290.25,4302,8634.375504
UNC5C2,2.5uM,1480.25,2492,4221.177552
UNC5C2,2.5uM,2027.25,3039,5594.92986
UNC5C2,2.5uM,4459.25,5471,11337.70068
UNC5C2,2.5uM,2605.25,3617,7004.878741
UNC5C2,2.5uM,4902.25,5914,12341.79716
UNC5C2,2.5uM,4826.25,5838,12170.23188
UNC5C2,2.5uM,3672.25,4684,9527.313073
UNC5C2,2.5uM,5302.25,6314,13240.32043
UNC5C2,1.25uM,4513.25,5525,11460.63272
UNC5C2,1.25uM,4098.25,5110,10511.78989
UNC5C2,1.25uM,3009.25,4021,7970.666434
UNC5C2,1.25uM,6495.25,7507,15880.46035
UNC5C2,1.25uM,9998.25,11010,23372.1423
UNC5C2,1.25uM,9375.25,10387,22063.01401
UNC5C2,1.25uM,13601.25,14613,30792.55426
UNC5C2,1.25uM,7859.25,8871,18837.96511
UNC5C2,0.625uM,4381.25,5393,11159.85796
UNC5C2,0.625uM,11431.25,12443,26352.10554
UNC5C2,0.625uM,12749.25,13761,29058.61485
UNC5C2,0.625uM,8745.25,9757,20729.92931
UNC5C2,0.625uM,17243.25,18255,38085.88188
UNC5C2,0.625uM,18933.25,19945,41413.76767
UNC5C2,0.625uM,13395.25,14407,30374.37855
UNC5C2,0.625uM,7681.25,8693,18455.25553
UNC5C2,0uM,23012.25,24024,49324.37063
UNC5C2,0uM,33489.25,34501,69032.29063
UNC5C2,0uM,42021.25,43033,84597.91592
UNC5C2,0uM,34967.25,35979,71755.74107
UNC5C2,0uM,49330.25,50342,97669.07501
UNC5C2,0uM,21191.25,22203,45812.55606
UNC5C2,0uM,37614.25,38626,76603.73389
UNC5C2,0uM,40411.25,41423,81688.03946
